what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1305349917703
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1305349917859
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305349918015
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1305349918015
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1305349918140
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305349918218
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1305349918265
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1305349918328
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305349918453
os,sysinfo,,,"win32",1305349918453
arch,sysinfo,,,"x86",1305349918453
ws,sysinfo,,,"win32",1305349918453
locale,sysinfo,,,"zh_CN",1305349918453
processors,sysinfo,,,"2",1305349918453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305349918453
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1305349918453
java.specification.name,sysinfo,,,"Java Platform API Specification",1305349918453
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305349918453
java.specification.version,sysinfo,,,"1.6",1305349918453
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305349918453
java.version,sysinfo,,,"1.6.0_10-rc2",1305349918453
java.vm.info,sysinfo,,,"mixed mode",1305349918453
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1305349918453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305349918453
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305349918453
java.vm.specification.version,sysinfo,,,"1.0",1305349918453
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305349918453
java.vm.version,sysinfo,,,"11.0-b15",1305349918453
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1305349920500
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1305349921453
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1305349922484
